epoch 100:      loss = 6417.082130706815        w = 17.043955976151096  b = 9.033032752688092
epoch 200:      loss = 5878.329209553222        w = 16.81304298375581   b = 16.727893062572846
epoch 300:      loss = 5395.638531468639        w = 16.59447402046071   b = 24.01139728938783
epoch 400:      loss = 4963.176299596395        w = 16.387589437049837  b = 30.905535940269484
epoch 500:      loss = 4575.715777802036        w = 16.191764603515264  b = 37.4311239343832
epoch 600:      loss = 4228.57412036938         w = 16.006408281663642  b = 43.607863455494424
epoch 700:      loss = 3917.555775153173        w = 15.830960840038234  b = 49.45440343718976
epoch 800:      loss = 3638.90177615913         w = 15.664892564268602  b = 54.98839586810467
epoch 900:      loss = 3389.2443127018087       w = 15.507702057746526  b = 60.22654908715491
epoch 1000:     loss = 3165.5660260633485       w = 15.358914727799522  b = 65.1846782296825
epoch 1100:     loss = 2965.163541712742        w = 15.218081352791287  b = 69.87775297682377
epoch 1200:     loss = 2785.614796336264        w = 15.084776725822875  b = 74.31994275226546
epoch 1300:     loss = 2624.7497647937103       w = 14.95859837093969   b = 78.52465950284743
epoch 1400:     loss = 2480.624233206583        w = 14.839165327968113  b = 82.50459819217701
epoch 1500:     loss = 2351.496301199941        w = 14.726117002313082  b = 86.2717751295131
epoch 1600:     loss = 2235.805329304159        w = 14.619112076243782  b = 89.83756424964322
epoch 1700:     loss = 2132.153077074931        w = 14.51782747838041   b = 93.21273145329188
epoch 1800:     loss = 2039.2868039670427       w = 14.421957408270735  b = 96.40746711173972
epoch 1900:     loss = 1956.0841287190665       w = 14.33121241311133   b = 99.43141683379365
epoch 2000:     loss = 1881.539464259696        w = 14.24531851382597   b = 102.2937105879982
epoch 2100:     loss = 1814.7518641879624       w = 14.164016377862623  b = 105.00299026801667
epoch 2200:     loss = 1754.9141339400346       w = 14.087060536211483  b = 107.56743578440683
epoch 2300:     loss = 1701.3030750402133       w = 14.014218642280127  b = 109.99478976156738
epoch 2400:     loss = 1653.2707445281485       w = 13.945270770388088  b = 112.2923809144226
epoch 2500:     loss = 1610.2366239238297       w = 13.880008751762915  b = 114.46714617542246
epoch 2600:     loss = 1571.6806030844482       w = 13.818235546032911  b = 116.52565163866575
epoch 2700:     loss = 1537.1366941561118       w = 13.759764646318981  b = 118.47411238438045
epoch 2800:     loss = 1506.1873996472125       w = 13.704419516129379  b = 120.31841124361671
epoch 2900:     loss = 1478.4586665560691       w = 13.652033056357237  b = 122.064116559806
epoch 3000:     loss = 1453.6153655684238       w = 13.602447100771696  b = 123.71649900081306
epoch 3100:     loss = 1431.3572406864082       w = 13.555511938479262  b = 125.2805474722405
epoch 3200:     loss = 1411.415280336221        w = 13.511085861913756  b = 126.7609841800305
epoch 3300:     loss = 1393.5484660957381       w = 13.469034738990029  b = 128.1622788878421
epoch 3400:     loss = 1377.5408597472037       w = 13.42923160812973   b = 129.48866241224957
epoch 3500:     loss = 1363.1989934491198       w = 13.391556294936416  b = 130.74413939650734
epoch 3600:     loss = 1350.3495314850015       w = 13.355895049362639  b = 131.93250040144747
epoch 3700:     loss = 1338.837175328859        w = 13.322140202273568  b = 133.0573333500157
epoch 3800:     loss = 1328.5227867080766       w = 13.290189840370212  b = 134.1220343599993
epoch 3900:     loss = 1319.281705979021        w = 13.259947498490783  b = 135.12981799765234
epoch 4000:     loss = 1311.0022454912878       w = 13.231321868361192  b = 136.08372698317754
epoch 4100:     loss = 1303.5843397313668       w = 13.204226522915283  b = 136.9866413773674
epoch 4200:     loss = 1296.938335931411        w = 13.178579655352568  b = 137.8412872771396
epoch 4300:     loss = 1290.9839105263761       w = 13.154303832145484  b = 138.65024504622346
epoch 4400:     loss = 1285.6490983638619       w = 13.131325759250604  b = 139.4159571058444
epoch 4500:     loss = 1280.869422933678        w = 13.109576060817792  b = 140.14073530893012
epoch 4600:     loss = 1276.5871171050971       w = 13.088989069729267  b = 140.82676792010292
epoch 4700:     loss = 1272.7504249536432       w = 13.069502629336164  b = 141.47612622253098
epoch 4800:     loss = 1269.3129762392643       w = 13.051057905793941  b = 142.09077077158724
epoch 4900:     loss = 1266.2332259758741       w = 13.033599210430094  b = 142.67255731419704
epoch 5000:     loss = 1263.4739523188819       w = 13.017073831607801  b = 143.22324239174557
epoch 5100:     loss = 1261.001806702181        w = 13.001431875577929  b = 143.74448864346246
epoch 5200:     loss = 1258.7869107875674       w = 12.986626115838835  b = 144.2378698262945
epoch 5300:     loss = 1256.8024953553077       w = 12.972611850549164  b = 144.70487556642425
epoch 5400:     loss = 1255.024576771501        w = 12.959346767563217  b = 145.14691585677767
epoch 5500:     loss = 1253.4316671220104       w = 12.946790816681236  b = 145.56532531410346
epoch 5600:     loss = 1252.0045145096524       w = 12.934906088729091  b = 145.961367208474
epoch 5700:     loss = 1250.725870375873        w = 12.923656701102123  b = 146.33623727737526
epoch 5800:     loss = 1249.580281034769        w = 12.913008689427699  b = 146.69106733590064
epoch 5900:     loss = 1248.5539008999178       w = 12.90292990501931   b = 147.02692869394974
epoch 6000:     loss = 1247.6343251467097       w = 12.893389917812609  b = 147.34483539074805
epoch 6100:     loss = 1246.8104397876916       w = 12.884359924490365  b = 147.64574725645454
